id;text;clean_text;toxic_label;toxicity_pre_clean;toxicity_post_clean;polarity;politeness;nltk_score
;The devDependency sharp was updated from  to . This version is not covered by your current version range. If you don’t accept this pull request, your project will work just like it did before. However, you might be missing out on a bunch of new features, fixes and/or performance improvements from the dependency update.  Find out more about this release. &lt details&gt    &lt summary&gt FAQ and help&lt /summary&gt     There is a collection of [frequently asked questions]( If those don’t help, you can always [ask the humans behind Greenkeeper]( Greenkeeper bot palm_tree ;The devDependency sharp was updated from  to . This version is not covered by your current version range. If you don’t accept this pull request, your project will work just like it did before. However, you might be missing out on a bunch of new features, fixes and/or performance improvements from the dependency update.  Find out more about this release. &lt details&gt    &lt summary&gt FAQ and help&lt /summary&gt     There is a collection of frequently asked questions( Greenkeeper bot palm_tree;n;0.06726306;0.057902656;0.001623376623376622;0.5914189818951595;0.7845
;Version 1.0.0+ Mods CBA, TFAR, ACE(no-medical) Environment MP dedi .rpt attatched? NO have you edited the missionfile? NO Is it possible to add a parameter such as "load save" to the parameters (lobby) of the mission? It will automatically load the previous saving of the campaign, by default (for your servers) you can set it to whatever value you want, for example, it's off, me and other server owners are very comfortable will be when I can turn it on (for example, through the cfg file) ;Version 1.0.0+ Mods CBA, TFAR, ACE(no-medical) Environment MP dedi .rpt attatched? NO have you edited the missionfile? NO Is it possible to add a parameter such as "load save" to the parameters (lobby) of the mission? It will automatically load the previous saving of the campaign, by default (for your servers) you can set it to whatever value you want, for example, it's off, me and other server owners are very comfortable will be when I can turn it on (for example, through the cfg file);n;0.062044762;0.062044676;0.045666666666666675;0.8905496970594228;0.633
;Will study the possibility. It seems a good idea ;Will study the possibility. It seems a good idea;n;0.030149838;0.030149741;0.7;0.515407917787913;0.4404
;belive me it’s not low priority task, it’s very very important task you are very good man if you do, it’s not so complicated ;belive me it’s not low priority task, it’s very very important task you are very good man if you do, it’s not so complicated;n;0.065765046;0.065765046;0.23249999999999998;0.4036337884085769;0.749
;but there are more important tasks and my time is not unlimited ;but there are more important tasks and my time is not unlimited;n;0.047796413;0.047796413;0.45;0.399852619319327;0.3898
;yeah, I did not expect anything else, thanks ;yeah, I did not expect anything else, thanks;n;0.043971937;0.043971956;0.2;0.47919589065878826;0.6249
;If you want to make it quicker you can allways provide the code here and I Will implement it in seconds. And if not, after telling you that I Will do, you come here with hurry and get dissapointed because I tell you the priorities of the mission development????? May I say that I am not your fucking slave or is it incorrect? ;If you want to make it quicker you can allways provide the code here and I Will implement it in seconds. And if not, after telling you that I Will do, you come here with hurry and get dissapointed because I tell you the priorities of the mission development????? May I say that I am not your fucking slave or is it incorrect?;y;0.87185377;0.87185377;-0.6;0.480414793537601;0.3094
;@friend actually yes it is, i understand the frustation but lets keep it respectfull and enjoyable for everyone, especially that I think you guys just misunderstood due to language translation. In the meantime @friend you are more than welcome to fork this repo, fix this issue and send us a pull request  ) I invite everyone to take 5minute to read this  ;@friend actually yes it is, i understand the frustation but lets keep it respectfull and enjoyable for everyone, especially that I think you guys just misunderstood due to language translation. In the meantime @friend you are more than welcome to fork this repo, fix this issue and send us a pull request  ) I invite everyone to take 5minute to read this;n;0.0912363;0.0912363;0.275;0.640938615784803;0.8825
;What is not subject to translations is your -1 reaction and your closing of the Issue ;What is not subject to translations is your -1 reaction and your closing of the Issue;n;0.065033585;0.065033585;0.08333333333333333;0.49042496898363536;0
;It's actually a functionality which we have already implemented in the community version of Antistasi. It worked this way There was a parameter "Allow to start a new campaign" which was OFF by default. If you wanted to start a new campaign, you'd set it to ON manually and then the menu would ask you if you wanted to make a new start. The reason behind this is to ease the administration of automatic server restarts when there is no administration instantly available. It also helped us a lot at the official server because users would just join the game and the progress would get loaded. I am not sure if the autoload is currently present in the mission. ;It's actually a functionality which we have already implemented in the community version of Antistasi. It worked this way There was a parameter "Allow to start a new campaign" which was OFF by default. If you wanted to start a new campaign, you'd set it to ON manually and then the menu would ask you if you wanted to make a new start. The reason behind this is to ease the administration of automatic server restarts when there is no administration instantly available. It also helped us a lot at the official server because users would just join the game and the progress would get loaded. I am not sure if the autoload is currently present in the mission.;n;0.022551514;0.022551466;-0.026767676767676774;0.7588695103536617;0.6414
;Honestly, it's unclear who this dude thinks himself to talk to me like that. I could certainly put this rude person in place, but I'm not going to do it. You can do what you think is necessary, but I'm not going to help you any more. And more - you can use Google translator when reading the text, without risking to lose the sense of what is written. ;Honestly, it's unclear who this dude thinks himself to talk to me like that. I could certainly put this rude person in place, but I'm not going to do it. You can do what you think is necessary, but I'm not going to help you any more. And more - you can use Google translator when reading the text, without risking to lose the sense of what is written.;n;0.07656976;0.07656982;0.2523809523809524;0.5231841655321945;0.5256
;This dude is the owner of this mission and got all rights on this code, if it says it's interresting but got more important issues that's how it is. You've been welcomed multiple times to  as you said. Your ambiguous comments (that you deleted...) and you closing the issue show your lack of maturity. Even worse, you are threatening people on a collaborative platform ? Closing issue drama has not is place here. ;This dude is the owner of this mission and got all rights on this code, if it says it's interresting but got more important issues that's how it is. You've been welcomed multiple times to  as you said. Your ambiguous comments (that you deleted...) and you closing the issue show your lack of maturity. Even worse, you are threatening people on a collaborative platform ? Closing issue drama has not is place here.;n;0.4254564;0.4254564;0.125;0.37726502718881977;-0.7882
;@friend I repeat you are more than welcome to help posting issues and PR on this repository, in english  ) Issue will be treated later on. ;@friend I repeat you are more than welcome to help posting issues and PR on this repository, in english  ) Issue will be treated later on.;n;0.16290149;0.16290142;0.31;0.6096400116705759;0.7832
;Thanks @friend. Back to the roots, omitting his lack of social skills and education, Alex idea was good and Will be implemented (once I finish the whole AI suite which is by far more important). ;Thanks @friend. Back to the roots, omitting his lack of social skills and education, Alex idea was good and Will be implemented (once I finish the whole AI suite which is by far more important).;n;0.0622401;0.0622401;0.26666666666666666;0.5;0.5423
;Will try to persistent save YES by default and only being able to be changed by server admins, so new starts Will allways depend on an admin. Switch commander yes by default and membership yes by default, but those will get overriden once the load is done. ;Will try to persistent save YES by default and only being able to be changed by server admins, so new starts Will allways depend on an admin. Switch commander yes by default and membership yes by default, but those will get overriden once the load is done.;n;0.036565498;0.036565498;0.21212121212121213;0.41261610543572047;0.7199
;Can you check @friend solution that was on 1.8 version ? The goal is to actually not need any admin at mission restart, in cohesion with the member server/mission restart, especially in the case of auto restart servers. ;Can you check @friend solution that was on 1.8 version ? The goal is to actually not need any admin at mission restart, in cohesion with the member server/mission restart, especially in the case of auto restart servers.;n;0.040681943;0.040681906;0;0.638380411592097;0.3182
;its more or less the same I Will add this and some other options with defaults. Life will be easier. ;its more or less the same I Will add this and some other options with defaults. Life will be easier.;n;0.12401456;0.12401456;0.05208333333333334;0.47740096114722314;0.4215
;I proposed a similar solution in a forum thread so for each of theese options we could make a parameter in the parameters menu. Each parameter will have three options Force ON, Force OFF, Default. The 3rd one (Default) will cause default behaviour with GUI appearing at mission start. Others will force the corresponding options to one of the two states. So We have total compatibility with people already running the mission and we add possibility for other admins to set it to whatever they want. ;I proposed a similar solution in a forum thread so for each of theese options we could make a parameter in the parameters menu. Each parameter will have three options Force ON, Force OFF, Default. The 3rd one (Default) will cause default behaviour with GUI appearing at mission start. Others will force the corresponding options to one of the two states. So We have total compatibility with people already running the mission and we add possibility for other admins to set it to whatever they want.;n;0.076826215;0.07682615;-0.03125;0.6483846282822374;0.3818
;These are my notes of the params I Will add, pls do not hesitate to suggest a few more Load last Save def Yes Server membership (Overriden upon Load) def Yes. Switch Comm Def yes. TK Punish Def Yes. Mission Radius Def 4Kmts (4,8,12) Allow PvP def No Allow player markers def Yes AI Skill def Medium (mult 0.5,1,2) No of same ítems in Arsenal to unlock def 25 (15,25,50) Civ Traffic Level def Medium (mult 0.5,1,2) So if the server is started by an admin he Will be able to tweak whatever, if not, the default values are applied, and those are suitable for open dedis, no conflict with anything. From there, JiP players Will see the traditional Load window for their personal saves, and nothing else. ;These are my notes of the params I Will add, pls do not hesitate to suggest a few more Load last Save def Yes Server membership (Overriden upon Load) def Yes. Switch Comm Def yes. TK Punish Def Yes. Mission Radius Def 4Kmts (4,8,12) Allow PvP def No Allow player markers def Yes AI Skill def Medium (mult 0.5,1,2) No of same ítems in Arsenal to unlock def 25 (15,25,50) Civ Traffic Level def Medium (mult 0.5,1,2) So if the server is started by an admin he Will be able to tweak whatever, if not, the default values are applied, and those are suitable for open dedis, no conflict with anything. From there, JiP players Will see the traditional Load window for their personal saves, and nothing else.;n;0.04720917;0.04720926;0.15000000000000002;0.5501690774346172;0.8084
